match_id,league,year,split,date,team1,team2,result,team1_historical_wins,team2_historical_wins,team1_recent_win_rate,team2_recent_win_rate,team1_season_win_rate,team2_season_win_rate,team1_first_dragon_rate,team1_first_herald_rate,team1_first_tower_rate,team2_first_dragon_rate,team2_first_herald_rate,team2_first_tower_rate
LCKC_2023-01-30 05:07:00_DN Freecs Challengers_Gen.G Global Academy,LCKC,2023,Spring,2023/1/30 5:07,DN Freecs Challengers,Gen.G Global Academy,0,0,0,0.4,0.2,0.012195122,0.006097561,0.5,0.6,0.7,0.3,0.7,0.3
LCKC_2023-01-30 05:58:00_Gen.G Global Academy_DN Freecs Challengers,LCKC,2023,Spring,2023/1/30 5:58,Gen.G Global Academy,DN Freecs Challengers,0,1,0,0.2,0.3,0.009118541,0.012158055,0.3,0.6,0.3,0.4,0.5,0.6
LCKC_2023-01-30 06:54:00_DN Freecs Challengers_Gen.G Global Academy,LCKC,2023,Spring,2023/1/30 6:54,DN Freecs Challengers,Gen.G Global Academy,1,1,1,0.4,0.2,0.015151515,0.009090909,0.3,0.4,0.5,0.2,0.6,0.3
LCKC_2023-01-30 08:14:00_Dplus KIA Challengers_T1 Esports Academy,LCKC,2023,Spring,2023/1/30 8:14,Dplus KIA Challengers,T1 Esports Academy,1,0,0,0.8,0.8,0.024169184,0.024169184,0.5,0.2,0.2,0.4,0.6,0.6
LCKC_2023-01-30 09:21:00_T1 Esports Academy_Dplus KIA Challengers,LCKC,2023,Spring,2023/1/30 9:21,T1 Esports Academy,Dplus KIA Challengers,1,0,1,0.7,0.8,0.024096386,0.027108434,0.3,0.6,0.6,0.5,0.3,0.3
LCKC_2023-01-30 10:15:00_Dplus KIA Challengers_T1 Esports Academy,LCKC,2023,Spring,2023/1/30 10:15,Dplus KIA Challengers,T1 Esports Academy,1,1,1,0.7,0.7,0.027027027,0.027027027,0.6,0.4,0.3,0.4,0.7,0.7
LCKC_2023-01-30 13:47:00_DRX Challengers_Liiv SANDBOX Youth,LCKC,2023,Spring,2023/1/30 13:47,DRX Challengers,Liiv SANDBOX Youth,1,1,1,0.5,0.3,0.014880952,0.008928571,0.2,0.6,0.4,0.1,0.7,0.5
LCKC_2023-01-31 12:03:00_KT Rolster Challengers_Hanwha Life Esports Challengers,LCKC,2023,Spring,2023/1/31 12:03,KT Rolster Challengers,Hanwha Life Esports Challengers,1,0,1,0.6,0.8,0.017045455,0.022727273,0.4,0.8,0.7,0.6,0.5,0.6
LCKC_2023-01-31 12:54:00_Hanwha Life Esports Challengers_KT Rolster Challengers,LCKC,2023,Spring,2023/1/31 12:54,Hanwha Life Esports Challengers,KT Rolster Challengers,0,1,1,0.7,0.7,0.02266289,0.019830028,0.6,0.6,0.7,0.4,0.8,0.7
LCK_2023-02-01 08:07:00_Liiv SANDBOX_Nongshim RedForce,LCK,2023,Spring,2023/2/1 8:07,Liiv SANDBOX,Nongshim RedForce,1,0,0,0.6,0.3,0.015789474,0.007894737,0.5,0.7,0.5,0.3,0.5,0.7
LCK_2023-02-01 09:00:00_Nongshim RedForce_Liiv SANDBOX,LCK,2023,Spring,2023/2/1 9:00,Nongshim RedForce,Liiv SANDBOX,0,0,1,0.3,0.7,0.007874016,0.018372703,0.4,0.4,0.7,0.6,0.6,0.5
LCK_2023-02-01 11:35:00_Gen.G_Dplus KIA,LCK,2023,Spring,2023/2/1 11:35,Gen.G,Dplus KIA,1,1,0,0.7,0.7,0.018276762,0.018276762,0.5,0.5,0.6,0.4,0.5,0.6
LCKC_2023-02-02 05:10:00_Dplus KIA Challengers_DRX Challengers,LCKC,2023,Spring,2023/2/2 5:10,Dplus KIA Challengers,DRX Challengers,1,0,0,0.7,0.6,0.024691358,0.014814815,0.6,0.4,0.4,0.2,0.6,0.4
LCKC_2023-02-02 05:11:00_KT Rolster Challengers_T1 Esports Academy,LCKC,2023,Spring,2023/2/2 5:11,KT Rolster Challengers,T1 Esports Academy,1,0,0,0.7,0.6,0.019704433,0.022167488,0.3,0.8,0.6,0.3,0.7,0.8
LCKC_2023-02-02 05:13:00_Hanwha Life Esports Challengers_DN Freecs Challengers,LCKC,2023,Spring,2023/2/2 5:13,Hanwha Life Esports Challengers,DN Freecs Challengers,1,0,0,0.6,0.5,0.01965602,0.014742015,0.6,0.6,0.6,0.3,0.4,0.5
LCKC_2023-02-02 06:04:00_DN Freecs Challengers_Hanwha Life Esports Challengers,LCKC,2023,Spring,2023/2/2 6:04,DN Freecs Challengers,Hanwha Life Esports Challengers,0,0,1,0.5,0.6,0.014705882,0.022058824,0.3,0.5,0.6,0.6,0.6,0.6
LCKC_2023-02-02 06:10:00_T1 Esports Academy_KT Rolster Challengers,LCKC,2023,Spring,2023/2/2 6:10,T1 Esports Academy,KT Rolster Challengers,0,0,1,0.5,0.7,0.02200489,0.02200489,0.3,0.7,0.8,0.2,0.9,0.6
LCKC_2023-02-02 06:26:00_DRX Challengers_Dplus KIA Challengers,LCKC,2023,Spring,2023/2/2 6:26,DRX Challengers,Dplus KIA Challengers,0,0,1,0.6,0.8,0.014634146,0.026829268,0.2,0.5,0.5,0.7,0.3,0.4
LCK_2023-02-02 09:01:00_BRION_DRX,LCK,2023,Spring,2023/2/2 9:01,BRION,DRX,0,1,0,0.5,0.3,0.014563107,0.007281553,0.5,0.7,0.7,0.3,0.5,0.4
LCK_2023-02-02 09:50:00_DRX_BRION,LCK,2023,Spring,2023/2/2 9:50,DRX,BRION,0,1,1,0.4,0.4,0.00968523,0.014527845,0.2,0.4,0.3,0.4,0.7,0.6
LCK_2023-02-02 11:23:00_Hanwha Life Esports_T1,LCK,2023,Spring,2023/2/2 11:23,Hanwha Life Esports,T1,0,0,0,0.4,0.8,0.009661836,0.019323671,0.5,0.8,0.3,0.5,0.5,0.6
LCK_2023-02-02 12:29:00_T1_Hanwha Life Esports,LCK,2023,Spring,2023/2/2 12:29,T1,Hanwha Life Esports,0,1,0,0.8,0.3,0.021686747,0.009638554,0.6,0.6,0.5,0.5,0.8,0.2
LCK_2023-02-02 13:31:00_Hanwha Life Esports_T1,LCK,2023,Spring,2023/2/2 13:31,Hanwha Life Esports,T1,1,1,1,0.3,0.7,0.012019231,0.021634615,0.6,0.9,0.3,0.6,0.7,0.5
LCKC_2023-02-03 05:07:00_Gen.G Global Academy_Nongshim Esports Academy,LCKC,2023,Spring,2023/2/3 5:07,Gen.G Global Academy,Nongshim Esports Academy,0,0,0,0.2,0.6,0.006507592,0.017353579,0.3,0.5,0.3,0.3,0.4,0.4
LCKC_2023-02-03 05:08:00_Liiv SANDBOX Youth_BRION Challengers,LCKC,2023,Spring,2023/2/3 5:08,Liiv SANDBOX Youth,BRION Challengers,0,0,0,0.3,0,0.006493506,0,0.2,0.7,0.6,0.4,0.4,0.6
LCKC_2023-02-03 06:04:00_Liiv SANDBOX Youth_BRION Challengers,LCKC,2023,Spring,2023/2/3 6:04,Liiv SANDBOX Youth,BRION Challengers,1,0,1,0.3,0.1,0.006479482,0.002159827,0.2,0.7,0.7,0.4,0.5,0.7
LCKC_2023-02-03 06:13:00_Gen.G Global Academy_Nongshim Esports Academy,LCKC,2023,Spring,2023/2/3 6:13,Gen.G Global Academy,Nongshim Esports Academy,1,0,1,0.2,0.7,0.006465517,0.019396552,0.4,0.5,0.3,0.4,0.4,0.4
LCKC_2023-02-03 06:56:00_Liiv SANDBOX Youth_BRION Challengers,LCKC,2023,Spring,2023/2/3 6:56,Liiv SANDBOX Youth,BRION Challengers,1,1,1,0.4,0.1,0.008602151,0.002150538,0.2,0.7,0.6,0.5,0.6,0.6
LCKC_2023-02-03 07:03:00_Nongshim Esports Academy_Gen.G Global Academy,LCKC,2023,Spring,2023/2/3 7:03,Nongshim Esports Academy,Gen.G Global Academy,0,1,1,0.6,0.3,0.019313305,0.008583691,0.5,0.3,0.3,0.5,0.4,0.3
